Name,RatingValue,DatePublished,Review,Sentiment
Dynasty Chinese Cuisine,2,2017-12-17,"Last week, I decided to get take out from a nearby restaurant. They said it would take twenty minutes, so I decided to walk around instead of waiting at the restaurant. I had killed some time and by the time I had looped around, I thought hey maybe I can grab one of my favorite treats as dessert. Dynasty was right there, so I went upstairs, proceeded to the counter, looked at their priceless* dim sum menu and ordered one order of the steamed egg yolk custard buns.

I said priceless with an * because I wanted to explain that it didn't have a price next to the items... Not because there menu is super precious. Boy did I ever experience sticker shock. Yes, I do remember Dynasty is over priced and the food is average here. But when I paid over $10 for three tiny buns...I couldn't help but think: didn't I pay just four dollars for three of these, but slightly larger ones, at Rol San a few weeks ago? 

Okay, so maybe the quality is why it's priced higher, I thought. So after eating amazing Indian food for dinner, I dug into the custard buns. The filing is kinda dry... Atop of this, there's some weird film/coating around the ""custard""/yolk. I assume it's edible, because it's in all three, and I ate it. But if I had to compare it against other custard buns that I've had... I'd much prefer a creamy custard instead of something dried up. I don't think of custards as something dried up ever.

There was a time when the buns were good here... Years ago. Its a shame because the other items in the menu here really are average and over priced.",0
Chula Taberna Mexicana,2,2019-07-27,"When did Gerrard and Jones become a popular destination? Good on it. 

Quick summary:

- nice rooftop patio
- I had slowish service
- Food was good. We had a churizo bowl and the ceviche. Both were solid. I didn't notice anything special about the menu. Standard upper-middle level Mexican foods. 
- Drinks ok (cider + tequila based fruity blend).
- overpriced. Why is Mexican food so expensive in Toronto? It's mostly bloody rice, tomatoes, lettuce, avo, standard meats.
- The staff was decent not great but it was busy hence the pressure of Friday night at play. 
- Personally I wouldn't go back at that pricing but if you don't mind that you may like the food. 

2/5 maybe 2.5. 

Tears for Mcguiggan's.",0
La Marquesita,2,2019-11-04,"I ordered a taco from here, the Monterrey Steak. So tiny, it fits in the palm of your hand. Taste was ok but I don't think it is worth $6-7.",0
Comal y Canela,5,2019-05-05,"Three visits to this place so far, and we've gotten the enmoladas (chicken mole enchiladas) each time. The mole sauce is addictive; The blend of spices, chilis, and chocolate is rich, creamy, and balanced. 

If you're looking for the next level of shareable nachos, the asada chilaquiles is a mammoth portion of salsa poured over tortillas and topped with steak, cheese, cream, avocado, and beans on the side. 

They also have a tasty carnitas, a solid birria and pozole, along with various tacos (we liked the gobernador and the cochinita so far). 

Most of the dishes come with three types of salsa, onions, limes, and cilantro to dress your food with.

For drinks, I'd recommend the Jamaica, a hibiscus iced tea, and the Tepache, fermented pineapple juice and piloncillo. They have a lower level of sweetness, which was appreciated.",2
Mariachi’s Restaurant,3,2019-06-06,"So this is my first trip to Canada and I decided to try this place because of a picture I saw of a margarita. So of course,  I did go and order that drink. I asked for a frozen margarita but it was far from frozen. It looked like the machine had melted. They made me another and it looked great but it wasn't sweet. 

I did order the quesadilla with chorizo. It was delicious. They served it Spanish rice and a side salad. First time I've been to a Mexican restaurant and I didn't get black beans. I had the habanero sauce with it and it was super spicy but I live for spicy food!",1
Blooming Orchid,5,2019-05-29,"Run don't walk! 

Blooming Orchid really lives up to the hype. 

I was looking for a new AYCE midtown and found one thanks to Yelp and other reviews!

I will post pics below, the food was fresh, portions were perfect, and the taste was excellent.

The service from Qing nan was flawless, her kind, sweet, and helpful disposition made it an absolute pleasure to dine here during lunch hour. She was working the floor, taking care of all the tables, preparing the deliveries, and taking payment for take-out orders, and still her service was great, jus

They have been open for 7 months now, and they definitely have the right combo, of staff, food, and atmosphere to be around for a long time to come.

The decor was simple, relaxing, and comfortable. The washroom was immaculate and again simply decorated closed off by a frosted swinging glass door to access the area.

Will definitely be back, looking forward to it! 
Did I mention lunch buffet was $15.00 Mon-Thurs",2
Jacobs & Co. Steakhouse,4,2020-03-17,"Came here on a Friday night. Not too busy. 

The exterior of the restaurant looks like a huge storage box. Very rectangular. They have valet parking for $20. I think its pretty pricey since parking in dt toronto drops after 6pm, if you want to save some money, look for parking near the area!

Once you walk in, you will see the reception. It was a bit overwhelming for me, the waitress/serves were standing in a straight line, not talking, and looking at you. Felt a bit uncomfortable. Some people may enjoy this kind of service, i just felt like there were just way too many people standing and looking at you. 

We were seated on the second floor. First floor is the bar area and where the pianist performed. 

Second floor decor was very fancy but minimal, love it. We were seated by the window. The server came by, greeted and went over the menu with us. Do not hesitate to ask them if you have any questions, they are more then welcome to assist you and give you suggestions.

We ordered 2 drinks. Both very strong in alcohol flavors and less juicy or soday. Im not much of a drinker, so that was a bit too strong for me.

The bread came after. Huge, fresh, crispy but soft in the side. Looks like a muffin with a huge mushroom head. Love the bread. WISH there was more. 

The salad came after. The caesar salad is made on the spot in front of you. I love the presentation but flavours wise, it tasted a bit too vinegar and lemony to me. Its not bad, but i had better 3/5. 

The steak and the sides came. 

We ordered the 30 days aged striploin from USA in medium. I felt like the exterior of the steak was a bit burnt, made the steak more on the chewy side. I love how they have 6 different condiments for the steak, recommend the soya sauce and the pink salt. Overall 4/5. 

The mushroom risotto smelt super mushroomy and cheesy. Smell and appearance is 5/5. I just wished it was more creamy, the rice was a bit on the chewy side, maybe a minute or 2 longer in the sauce can make it softer and creamer. Still not bad! 4.5/5!

We ordered 2 sides, and the server recommended we do half side, which we did and super grateful because we were so full after. We had the Sauteed Rapini (the green leaves vegetable) and the potato grantin (potato sliced, and layered in cream and cheese). The rapini have some heat to it, its alright, nothing too too special 3/5. The potato was DELICIOUS, if you love cheese and cream, this is the dish for you! Super cheesy, flavourful, cripsy on the top, soft in the inside. 5/5!

Last but not lease, the dessert was a chocolate pudding, whipped cream with crushed chocolate and oeros on the top and bottom. I love dessert but not a fan of desserts that are too sweet. I thought this would be way too sweet for me, but it was in a perfect balance between sweetness and chewiness. LOVE IT! Just wish there was more. 5/5.

They even give you a small chocolate brownie, a cookie and 2 muffins when you ask for the bill. I was too full to even try the muffin. But overall, the experience was great. I just wish the steak was more tender and juicy and the caesar salad can be less sour or vinegary. Overall 8.5/5",2
King’s Tacos,3,2018-08-26,"I was on the street car when I noticed King's Tacos. I was curious so I went in for a bite. I was expecting a fast food restaurant like Taco Bells, but it was a sit down restaurant. King's Tacos decor was plainly decorated in a casual restaurant style. The service was okay, but you have to pay at the front.

The service started with the waitress bringing little bowls of sauce and onions. I am not familiar with Mexican food or tacos. I ordered the Arrachera taco which is made of beef fillets. I added the ingredients and sauces to the tacos to add flavours. I thought that the tacos were okay.

Would I go back? Maybe to try the other tacos. But I am not familiar with Mexican cuisine so it is hard to evaluate the food.",1
Baretto Caffe,2,2019-09-18,"I was so looking forward to trying this place out based on all the Yelp reviews and I'm sad to say, my experience here was not a good one.  The cafe is so quaint and located inside a non-descript office building with a cute Koi pond to the side.  

There were 3 people working during a busy-ish lunch time and it took them 15+ min to just take our order.  My daughter's cheese pizza came out first with extra sprinkling of Parmesan cheese which she hates.  It would have been nice to know that even a cheese pizza would come showered in Parmesan.  My husband's lasagna took 30 min to arrive with the same amount of Parmesan on top.  You can see the amount of Parmesan on the photos below.  This was perhaps the best dish of the day still.  The lasagna had a nice meaty sauce and was definitely a pre-made lasagna that was reheated which made us wonder why it would take 30 min to just reheat and serve a premade lasagna.  My fettucine primavera also came doused in too much Parmesan in a tomato sauce that was way too watery and sweet.  Let's just say my pasta was beyond disappointing.  

Based on this experience, I am not sure if I would return here any time soon.",0
Lee Chen Asian Bistro,3,2019-04-01,"The interior here is spacious and clean, which makes it a good place for happy hour or business meals. The servers were quick, but it took some effort to get their attention sometimes. 

We had the dan dan noodles, pork belly over rice, XLB, and pan fried dumplings. Although this was a mix of appetizers and dimsum, the amount of food was just enough for us. My favorite was the dan dan noodles, especially with the hot chili oil for those that like spice. 

Overall I had a good dining experience but was a bit disappointed with the dimsum selection. I was looking for a good dimsum restaurant in Chinatown and, for being labeled a dimsum restaurant, there wasn't that much.",1
Sichuan Garden Restaurant,1,2019-05-25,Cockroaches running around.  This place is very dirty and the food isn't nice.  I would not recommend unless you are asking for a stomach ache.,0
Dynasty Chinese Cuisine,2,2019-06-24,"We tried this place since it's close to our hotel and shopping places. 
The ambiance was great and place looks clean. But the service needs a lot of work. The hot and sour soup is terribly spicy and no taste. Just the hot spice. So I ordered another soup. The wonton soup. It took them almost 30 minutes to bring my soup out. And likewise no taste and very UN-CHINESE flavor. 
We also asked one waiter about a cocktail mix and he initially gave me the impression that he does not want to be asked about the drinks and the menu. The waiter said I'll get back it's you but he never did come back. Almost All waiters and servers here are very UNFRIENDLY AND NO SMILE at all. Very disappointing place.!!!!",0
Dynasty Chinese Cuisine,3,2019-03-02,"Food was tasty.

Eyelash found in tripe dish.

Guy tried to give us leftovers.

Prices are not available unless you ask. FYI here are the prices.",1
Juicy Dumpling,3,2020-01-10,"It's an interesting concept to see for fast food dumplings. It wasn't bad nor was it really good, but it was perfectly fine for a quick grab and go lunch. 

They all look so delicious, but when it came out, it was clear that it was either made hours before and reheated or just has been sitting out for a while..none of our dumplings were piping hot, and neither was the Soup inside the soup dumplings, which was a bummer. 

The fried chicken was hot and good, but we also ordered the mini sesame balls that tasted a bit like there was some chemical in there and it wasn't fully cooked through-- super gross.",1
Carisma,1,2019-07-04,"Disappointed. 
Good service but not so good food. The pasta was so tough to the point of being uncooked!  the bread was good.",0
Sichuan Garden Restaurant,3,2017-10-01,"I am a bit torn by this rating. I would give it a 2.5 if I could. I was a little freaked out my the fruit flies hovering around my table but I put it aside. Hopefully the kitchen is clean, but what can I do about it, nothing. I order two dishes I get at Trizest, a Sichuan place near my home, in Michigan. The Cold Sichuan noodles were good but a bit bland. The portion size of the small would easily feed two. The Ma Po tofu was again, a large portion. It did seem to lack the Sichuan peppercorns and the mouth numbing effect. I'm a fan of salty but it was way salty. I think it was the preserved black beans that put it over the top. My dish didn't come with rice so I had to order some on the side. All in all it was good, but I wouldn't make a pilgrimage here.",1
Lee Chen Asian Bistro,1,2019-07-19,"Thought this place would live to the rating but it fell flat, and flavorless. We ordered our food and it literally came in 2 minutes. (Yikes!)

Everything was bland and lacking sauce. Service was nice and welcoming, but the food was just subpar and overpriced. I'd save your money.",0
Kit Kat Italian Bar & Grill,3,2019-09-27,"A decent spot for family style Italian food. The food is not very exquisite but doesn't taste too bad either. Pasta was great but other dishes were just okay. 

Beef carpaccio: very salty and oily. Part of the beef tasted frozen. There was also a sharp bitter taste in the bites. It's supposed to be made with truffle oil but I couldn't taste any truffle.  

Veal piccata: very mediocre family style dish 

Smoke duck angelhair: the pasta was very delicious! Perfectly cooked and favoured with lots of toppings. The smoke duck was delicious too.",1
Xola Mexican Food,2,2017-02-24,"Xola Mexican Food would be a great cosy place to take a first date. They promise Mexican food unlike any other. The small setting is endearing. While the service was excellent, and the menu promised good, fresh ingredients...

No salsa or chips to get you started on the house as is usual in the places I've been. Instead, for $10.50 or so, when we ordered the Guacamole as an appetizer, it was excellent and enough for both of us. As good as avocados can be. Not special.

I ordered the Duck. I received a very small serving roast duck taken off the bone in a small bowl, several small wraps, a  1/2 ramekin of chopped fruit for the wrap, a  1/2 ramekin of sour cream. That's it. No potatoes. No rice. No salad. Messy.  It was OK. Not interesting. Cost over $22.00.

My girlfriend ordered braised Lamb. Same thing. It was a tiny portion, stewed and served in a small bowl, with several small wraps,  1/2 ramekin of black beans. That's it. No potatoes. No rice. No salad. It was just OK. The duck was better. Cost over $18.00.

Add 1 beer and 1 excellent Margarita to that, and the bill was $80. 

Because the service was good, a tip had to be added which brought it up to $90.

Moral to this story - Xola is not even close to worth it. You won't find what you're used to or expect to. If you're open to novelty, you'll be disappointed by what you're served and what you're not.

For the best mexican, its worth the trip to Cielito Lindo in Pickering or Mexican Lindo at 971 O'Connor Dr, Toronto  - the very best. And we could have eaten twice for what I paid.

If you want duck or lamb, better to hit Chinatown or Greek Town respectively.",0
