companyName,datePublished,ratingValue,reviewBody
Skype,2024-08-19,N/A,"I have been a long-time user of Skype, but my recent experience has been incredibly frustrating and disappointing. I attempted to set up a UK caller ID using my UK mobile numbers (O2 UK and Vodafone UK) and was unable to receive the necessary verification codes. This issue persists despite successfully receiving codes for numbers from other countries.I have followed all the troubleshooting steps recommended by Microsoft Support, but nothing has worked. After reaching out to their support team multiple times, I received a single response acknowledging the issue, but since then, my follow-up emails have gone unanswered. I even requested to have the issue escalated or for a supervisor to step in, but that request was ignored as well.What’s worse is that this issue is causing significant disruption to my communication needs. I am now at a point where I may need to consider alternative solutions, as Skype no longer meets my needs effectively in the UK.I am extremely disappointed with the lack of support and responsiveness from Microsoft. If Skype cannot resolve this issue, it essentially makes their service unusable for UK users who need caller ID functionality. I would urge anyone considering Skype for UK communications to be aware of this problem and the poor customer support.Until this issue is resolved, I cannot recommend Skype for users in the UK. It’s frustrating to see such a basic functionality broken with no effort from the support team to provide a solution."
Skype,2024-07-02,N/A,"I think Skype is one of those apps that is designed to hurt users. It's one of the hardest and most buggy applications I've ever encountered. It's painful from launching the application (which takes a long time regardless of the device) to closing it (phantom Skype has to be manually cleared from memory afterwards). Tech.support is a separate conversation.... Skype, why are you doing this to us?"
Skype,2024-06-30,N/A,I wouldn't even give 1 start for this as they took money out of the account and have not topped out my credit. THE WORST  customer service. It kept saying  average 1 minute and that I am next in line but literally no one responded.
Skype,2024-06-27,N/A,"Horrible app, not easy to use, structure like hell, u can not contact them only via X and than u dont know how long to wait for an answer.  Typical american selffish policy!!!!"
Skype,2024-06-26,1,"I've had a bad experience with skype due to signing onto a plan with limited minutes by mistake. When i realised it i did online chat with Skype and expressed that the plan i signed up for is not working for me amd i would be willing to upgrade to an unlimited subscription. I was promised the rep will escalate it and get back to me, but so far no luck!"
Skype,2024-06-24,N/A,"Do not buy credit here, I did not get any and even though Google Pay say its been refunded its not, and its been two weeks."
Skype,2024-06-13,1,"Skype deleted a video of my last ever conversation with my Dad before he had an accident and died without warning.  I begged them for a restore, they even went a far as giving me some fake ticket number but I went back three times and despite reassurances they'd get back to me they never did."
Skype,2024-06-10,1,"what a horrible experience working with skype/ microsoft... I will avoid as much as possible.their lack of care for customers - and we pay - is amazing.  profit, profit, sad."
Skype,2024-06-08,N/A,"Skype is good at draining money from my account’s which didn’t work , the thieves don’t have a customer service number"
Skype,2024-06-04,N/A,"FREE software that allow you chats, calls, and too much data you can send each other, in windows its very fast for teams to send sms each others, thank you skype"
Skype,2024-06-03,2,"Le 05-05-2024, Skype m'a débité 4,99  Euros sur mon compte bancaire et à oublié de me charger cette somme là en minutes. Depuis, j'essaye de les joindre pour leur demander de charger cette somme là mais je ne reussi pas à les joindre. :(  Du coup, je ne peux plus passer des appels et je suis bloqué. :(Jérémy DelespautWhatsApp: +33611157512"
Skype,2024-05-24,1,Ik heb beltegoed gekocht en er staat telkens verbinding te zwak terwijl ik glasvezel verbinding heb van 1ghz.. 1000mb/s. Weer in zak gezet door windows
Skype,2024-05-09,1,With every update microtrash puts more unwanted features in skype
Skype,2024-05-08,1,"After much trawling round the Skype web site, I closed my Skype account Account on 18 November 2021. In April 2024, Skype emailed me to say my Skype account was still live. I AGAIN closed my ALREADY CLOSED account on 13 April 2024. Skype continues to email me, warning that my account will expire on 15 May 2024."
Skype,2024-05-02,N/A,"I hardly use skype now, but there's scambots that randomly invites us into Crypto/Forex groups there"
Skype,2024-04-29,1,I have found Skype good until you have a problem and loose your account. It is impossible to get any useful help on their chat line or through recover your account. Customer support is useless and you loose your credit. I have spent over eight hours trying to resolve this.
Skype,2024-04-22,N/A,N/A
Skype,2024-04-14,1,"J'ai 2 comptes skype, je reçois des notifications de compte inactif depuis quelque temps. Pour conserver les comptes ils demandent que je rachète des crédits. Un comble j'ai déjà du crédit en stock ! Sans rachat je perds les crédits d'appels réglés par avance. Je demande le remboursement avant fermeture finalement. Et bien non c'est perdu, ce n'est pas possible. Pour conclure c'est une société de racket, un pur vol , en somme un groupement d'escrocs !"
Skype,2024-04-03,1,"LGBTQ: stop harrassing me and others on Skype for invites to chat! This morning when I jumpstarted my PC, there was an invitation to join this group. I do not want to hear from depraved individuals, leave me alone, you should be sued for breaking into my private page - all of you! Go spread your brand of filth elsewhere!"
Skype,2024-03-31,N/A,what a piece of crap useless buggy system and greedy corporation.
Skype,2024-03-19,2,"Honestamente skype ha decaido bastante con el pasar de los años.. la calidad de las llamadas es horrible, las videollamadas se cortan a cada momento y el costo del  servicio es alto para lo que ofrecen..."
Skype,2024-03-19,2,Ik gebruik Skype al ruim 10 of 15 jaar. Ineens zijn 2 aankopen van $ 10 niet bijgeschreven. Het bleek dat op de email van mijn al bijna 2 jaar geleden overleden man de bedragen waren geaccepteerd en afgeschreven en later weer geweigerd. De betaling liep ineens via Google Play. Geen idee waarom het naar hem wordt gestuurd. Elke 2 a 3 maanden koop ik een beltegoed zonder enig probleem en nu ineens dit en ik zie geen mogelijkheid mijn geld terug te krijgen en ik ga natuurlijk niet voor een 3de keer beltegoed kopen. Einde Skype tijdperk. Jammer want ik kan mijn 95 jarige moeder in het buitenland  zonder internet niet meer bellen.
Skype,2024-03-16,N/A,N/A
Skype,2024-03-15,1,"If I could give zero I would.  You pay money into your account to make calls when travelling.  You return to your account to see what balance you have, lo and behold the balance is zero and you have NO WAY of finding out where it has gone.  These people are thieves.  Don't waste your money on this rubbish, use another voip app.  The only reason I used it in the first place was that the people I wanted to contact were on it.  Nope, Nope, No!"
Skype,2024-03-08,1,"Se fosse possibile non inserirei alcuna stella. Un colloquio di lavoro annullato a causa della linea, ci fosse una volta che tramite Skype riesco a fare una video call.Almeno si levassero dalle scatole così nessuno userebbe più la piattaforma e potremmo essere contattati tramite chi sa fare questo mestiere. Pessimo servizio!"
Skype,2024-02-11,1,I purchased an international call subscription on Skype and paid in app via Apple Pay. Apple took the payment but the subscription never came through. I’ve contacted both Apple and Skype multiple times about this and each point to the other as the responsible party. Apple refuses to refund the money and Skype refuses to activate the subscription as they say Apple has not sent through the required information. I have never had such a disappointing experience with an in-app purchase. This is outright fraud on the part of Skype.
Skype,2024-02-08,N/A,"I bought skype credit today. My credit card balance was charged, but skype mobile app show processing... then it got error and no credit added to my Skype account.Also, there's no way to content Skype's support. No email, no hotline and online help page is just like FAQ which just say check the payment, check the balance blah blah blah... I found no way to get my money back nor get the credit that I bought."
Skype,2024-01-30,1,The Most Inconsistent & Unreliable App I Have Ever Used
Skype,2024-01-24,1,"I wish I can give Skype 0 stars. I have paid for credit which I have not received. This has happened several times and only after contacting them do I get my credit added to my account but on this occasion, they are saying they cannot see my credit as paid when it has been taken from my bank and I received a receipt as proof of payment. I contacted them again and they are saying they have applied for my money to be refunded. They never applied for it to be taken!!! Am done. Skype, you are dishonest and all bad deeds will return to you two fold."
Skype,2024-01-16,1,"So ziehmlich das schlechteste Chatprogramm. Microsoft hat extreme Datenschutzprobleme, besch... AGBs und sperrt Konten aus nichtigen Gründen.Finger weg!"
Skype,2024-01-15,N/A,"I have been online business and social for 28 yrs and counting. No single App, has caused me or friends in countries that have mountainous restrictions…to be able to communicate, more frustration, due to its profound museum, ready dysfunction I have forced uninstalled everything that has anything remotely associated with Microsoft"
Skype,2024-01-13,1,"I signed up to Skype so a staff member can make calls. The staff member left I shut down the auto recharge, they continue to take money out of my account. They have no way to get in contact with them so after 6 months of them taking money I go ahead and completely shut down the account. 8 months later they are still taking money out of my account. They have no way to get in contact with them, so they just continue to take money. I don’t know what to do. If anyone can help this would be greatly appreciated"
Skype,2024-01-09,1,"I keep paying for credits which don't appear on my account, so I can't use it. Really bad. No reasonable way to contact them."
Skype,2024-01-06,N/A,"If it weren't for my job requiring the use Skype, I would stop using it FOREVER.You repeatedly ban and block accounts without any valid reason. I attempted to reach out to the chat support, but they claimed it wasn't their department. Despite filling out forms and sending emails over the past 3 months, I have NEVER RECEIVED A SINGLE RESPONSE.I have thoroughly reviewed your policy, and I am not violating any terms. No contacts are being added, no bulk messaging, no spam, and no scams are involved.Despite creating new accounts, you persistently ban me. Yesterday, I wasn't even using Skype when you blocked me again. You must stop relying on bots; Hire more humans; there's NO ONE to contact about the issue.The chat support is utterly USELESS, to say the least. They disregard the problem description, respond with copy-and-paste messages, avoid my questions, and purposefully miss the point. It's like talking in a loop, repeatedly explaining the same thing to someone who isn't reading anyway. Frankly, I am embarrassed for you."
Skype,2023-12-22,1,"When I sent a photo I couldn't put it on normal Skype, then I tried to delete it and the only thing I could do was reply.I definitely don't suggest Skype"
Skype,2023-12-18,N/A,Absolute rubbish and unworkable. Hang your heads in shame Microsoft.
Skype,2023-12-17,N/A,Stay away. Use something for free that works!
Skype,2023-12-14,1,"I just downloaded the new version, December 2023, version 8.11. I use Skype daily and I'm largely happy with it but this new version promptly changed my name and my Skype ID and lost the funds I have against my account. Fortunately it installed alongside the old version so I was able to uninstall it promptly and revert to the more reliable older version. Stop trying to improve something that's fine as it is."
Skype,2023-12-07,N/A,Skype ist reine Abzocke. Die Abonnements sind sehr schwer zu kündigen und verlängern sich immer weiter. Heute neues Abo gekauft und vorsichtshalber gleich gekündigt damit es nicht wieder weiter läuft. Wurde natürlich sofort abgestellt anstatt nach Abonnement Ablauf ein Monat später. Also für nichts bezahlt. Ein Scheissladen.
Skype,2023-12-03,1,"Utter crap platform/service....wholly useless,in too many ways to mention! But one has to wonder about the HR professionals  ability to recruit people who can design/service such software/app.Given up on it."
Skype,2023-12-01,1,Grille tarifaire pas faite pour clarifier les vrais coût. Elle  minimise les coût de la connexion qui sont très chers et qui sont marqués tout en bas du tableau des tarifs ce qui donne l'impression que ceux qui ont rédigé cette grille nous prennent pour des pigeons. Résultat si on appel plusieurs personnes qui ne sont pas disponibles mais dont le répondeur décroche on additionne les frais de connexion et le forfait fond rapidement.
Skype,2023-11-23,3,I keep going round in circles with passcodes and being able to put money on my account t9 use. I go through forgotten passcode. Then I cannot remember the old email address and it does not allow me to receive codes by my phone number as it loops me. Tel 07825 323 211
Skype,2023-11-22,1,Llevo semanas con la cuenta de acceso bloqueada y no me resuelven el acceso desde soporte técnico y eso que tengo el móvil de validación donde pueden verificar mi correcta identidad. He perdido los contactos y la cuenta sigue bloqueada
Skype,2023-11-19,1,"Det er da totalt irriterende, det robot halløj jeg skulle igennem for og installere skype, tror jeg var igennem det 5 gange, ta' jer lige sammen og så lad mig installere et problem uden alt det besværlige skidt."
Skype,2023-11-05,N/A,"Le avevamo provate tutte anche a pagamento, mancava solo Skype che non era stato proposto fino alla mattina di giovedi, ci voleva il colpo di genio che non e' stato il mio.In 15 su chiamata Skype con addirittura una condivisione di schermo esterno sembrava andare tutto bene la prima mezzora, ha continuato cosi fino a 8 ore di fila non ha dato nessun problema, chiedendo anche durante la chiamata e posso dire che noi siamo altamente lamentini basta il soffio esterno.Servizio ottimo."
Skype,2023-10-29,N/A,"my Experience ?!! Awful I hate skype, they hide the options  to close and remove my account, the have restricted me from using skype features and still they keep trying to to charge me 2 times a weeks this is a pure SCAM, also"
Skype,2023-10-24,4,Non ho mai avuto problemi e uso molto Skype. L'unico svantaggio è che la connessione video a volte non è molto buona.
Skype,2023-10-23,1,"It used to be a really good app, but the moment it became a part of Microsoft everything went wrong. First the interface, which is unbearable, then weird policies like security policy which no-one can understand and lastly user management, where you never know if you are looking in your phone book and looking for a Skype user ...Relatively simple and easy task, isn't it? But Microsoft (again) made it totally wrong - like everything."
Skype,2023-10-21,N/A,"Zum 100 mal gesperrt! Einfach so, grundlos! Man wartet ewig auf eine Rückmeldung, dann kommt nur eine Mail wo steht dass ich gg die Regeln verstoßen habe! Welche Regen denn genau, benutze kaum Skype und wenn dann wird das sofort beschwert ?! Ein Schrott einfach ! Jetzt geht wieder mein Skype, dafür ist aber mein Mann gesperrt !!! Der benutzt noch weniger Skype als ich .. das kann einfach nicht sein."
Skype,2023-10-09,N/A,"Skype original loose account management w/o an email created a mess after merging with Microsoft accounts. It is very easy to get locked out when using the same phone number for two skype accounts. One of them will be in limbo...and good luck with their  support AI, you get nowhere :\"
Skype,2023-09-13,N/A,"I bought skype number for my business and I have attached that number with my Wise account. However, whenever I request code to my number, I don't receive it. Only way to bypass this by requesting a call. It doesn't happen with the other VOIP number I have.  However, skype rates are good. This is the only problem I have faced which I think they'll improve"
Skype,2023-09-11,3,Skype is great product for audio calls when the group of participants is not too large otherwise its gives audio voice issues. It is an average for video communications. Skype works nice for one to one communication but bad for more number of  participants.
Skype,2023-08-29,1,"Opdaterede Skype appen, hvorefter intet fungerer - kan ikke foretage opkald, sende beskeder. Ingen support at få fra Skype."
Skype,2023-08-28,N/A,N/A
Skype,2023-08-24,N/A,"Skype’s annual revenues have fallen -74.5% since Microsoft’s 2011 $8.5 billion acquisition of Skype…Something’s obviously very wrong here.Microsoft has piled on ridiculously conspicuous Skype accounting practices, inconsistent billing, poor communication, connectivity (dropped calls on pickup, etc…), leading ultimately to client dissatisfaction, frustration, cancellations, churn, lost subs, lost revenue…(eg:) When required to replace / update your (dead) card on file, including annual subscriptions, MS won’t let you delete the original card, even after the charge, even after a replacement card has been posted; they’ll simply inform you, if you do so, they’ll cancel your subscription; all this due to their knowingly, creepy, buggy practices, software…Curiously, they allow stacked multiple cards, but MS will only bill the original card, which will eventually expire and/or is compromised, and fails; they won’t use the new card on file, exasperating annual subscriptions.Skype and SkypeIn are billed separately, in different locals, at differing times; no one could guide me to my SkypeIn pay details today… So, not only do you have to deal with Skype, SkypeIn, you submit payment through separate MS gateways, dealing with different portals, within MS… Again, a ridiculously ludicrously ineffectual interface, awful coding… Who’s actually in charge of creating this utter monstrosity, and why break something that wasn’t already broken…? How many more assets will MS endlessly pour into Skype; have they learned nothing from their past?Furthermore, instead of maintaining established payments through Skype, you’re redirected to a myriad of meaningless, confusing, non-navigational, non-intuitive MS interfaces, which resulted in an expired certificate.You’re only notified, less than a moments notice, your subscription has been CANCELLED, less than 48 hours prior to the subscription’s actual expiration, but within this timeframe, the account magically remains active, throwing users into a panicked state, even though a replacement card had already been on file, for almost 2 months prior, but MS elected not to use it; are they intentionally trying to sabotage themselves?As a legacy client, since Skype’s inception, I spent close to 6 hours, continuously as a MS hostage today, on their so-called chat support (no, you can’t speak with a human, only exhaustive chat text), as I was passed around like a rag doll, through ~10 different chat CSRs, as no one had the skill sets to resolve my matter, which they ultimately admitted they weren’t able to resolve, escalating upwards, meanwhile my Skype and SkypeIn will stop functioning until they fix the issue.This is a known issue which has been in existence since MS Skype acquisition, something which the FCC/SEC perhaps should investigate.How can a company of Microsoft’s stature, allow an acquired $8.5 billion asset, such as Skype, only to run it off the rails, with their ineffectual user interface, using MS proprietary coding, which doesn’t provide the same user interface experience, on their own or other platforms, including Android, iOS, etc… due in part to inconsistent proprietary coding, seemingly non existent debugging?One doesn’t have the same user interface on differing platforms; When chat support directs you to do something, that feature isn’t there… A very egregious waste of people’s personal time, and they’re simply unwilling to offer any compensation.Notifying them of their pitfalls leads absolutely nowhere… Nothing changes.- You can only stack crap so high before it collapses…MS has decided to add to Skype, Bing, AI and a myriad of other totally worthless unrelated, cluttered, nonessential communications features to the app, so much so, it’s now no longer Skype, while at the same time, I personally believe it has significantly increased the apps overhead, bogging down your device, decreasing security, increasing battery usage, all the while, constantly phishing your personal data... And all of this under a paid subscription banner…I didn’t sign up for any of this… Therefore I cannot recommend MS Skype in its present form.- - -*Skype was created by Niklas Zennström, Janus Friis, and four Estonian developers, first released in August 2003. In September 2005, eBay acquired Skype for $2.6 billion. In September 2009, Silver Lake, Andreessen Horowitz, and the Canada Pension Plan Investment Board bought 65% of Skype for $1.9 billion from eBay, valuing the business at $2.92 billion. In May 2011, Microsoft bought Skype for $8.5 billion and used it to replace their Windows Live Messenger. As of 2011, most of the development team and 44% of all the division's employees were in Tallinn and Tartu, Estonia (*Wiki)."
Skype,2023-08-20,N/A,"Skype is a widely recognized telecommunications application that allows users to make voice and video calls, as well as send instant messages and files over the internet. While I don't have personal experiences, I can provide information up until September 2021.Skype was one of the pioneers in the realm of internet-based communication, offering free or low-cost voice and video calls to other Skype users around the world. It was known for its user-friendly interface, cross-platform compatibility, and the ability to connect with both individuals and groups. Skype also allowed users to make calls to traditional landlines and mobile phones for a fee, making it a versatile communication tool.One of Skype's standout features was its video call functionality, which played a significant role in keeping people connected across long distances. It was particularly useful for maintaining personal and professional relationships, especially when physical meetings were not possible.Skype also offered text messaging, file sharing, and screen sharing capabilities, enhancing its utility for collaboration and remote work. However, over time, competition from other platforms like WhatsApp, Zoom, Microsoft Teams, and Google Meet led to changes in the way people communicate digitally.In recent years, Microsoft, the parent company of Skype, has integrated some of Skype's functionalities into its other products, like Microsoft Teams. This has led to a shift in focus for Skype towards a more business-oriented audience.Despite its historical significance, Skype has seen a decline in usage compared to newer and more specialized communication tools. It remains a part of digital communication history as one of the first applications to truly popularize online video calling and instant messaging."
Skype,2023-08-17,1,kann Gesprächspartner mehrmals kaum verstehen. Mußte Gespräche deshalb mehfach abrechen.Insgesamt ist Skype sehr langsam und träge geworden im Vergleich zu früher ( vor Microsoft).
Skype,2023-08-16,N/A,I had a subscription to make unlimited calls to the US (landlines) for over 5 years and it worked perfectly until recently. The past few months I have been unable to connect to a US landline without any explanation or customer service help. Skype makes it impossible to get in contact with tech support and disconnect the service. I kept getting charged monthly for a service I am not able to use. So happy to finally cancel my subscription and go with another provider. Good riddance.
Skype,2023-08-10,N/A,"HORRIBLE ! Ils vous font payer pour un service qui ne fonctionne plus ! Impossible de faire valider mon numéro de téléphone Suisse à cause d'un bug sur leur application ! Impossible de joindre le support mais une communauté qui ne répond pas ! Impossible de joindre MICROSOFT par téléphone ! Comble de cette histoire, ils me facturent pour un service qui ne fonctionne pas ! J'ai fermé mon compte SKYPE, de la grosse M. ! REMBOURSEZ MOI MON ARGENT !!!!!!!!!!!!!"
Skype,2023-08-07,1,Ridiculous situation my account was blocked right after registration. When I asked support about the problem the answer was that it was blocked because of ToS. They can not explain the reason.So Skype support suggests me create a new account with another email and card. It is ridiculous because if I use my card again the system will block my account again. So I have to go to a bank to issue a new card but it costs money. Skype what are you doing?
Skype,2023-08-05,N/A,"I have had a skype account for some 15 years and recently started to use it again after a long break. Within 2 days my account was locked for 'unusual activity'. After 3 lock outs it was blocked, I couldn't even get a code to reopen it. The unusual activity was down to skype allowing people I don't know to bombard me with messages, no matter how many times I block those people. They even managed to lock my account while I was not active on it for over a week. So much for staying in touch with friends and family. Utter rubbish."
Skype,2023-07-29,2,"The windows interface of Skype is a nightmare. Everytime I spend a few dozen seconds to find the dialpad. Useless options like The ""meet  now"" and ""Get your skype number"" which I will never use are really to invasive.  It's not the cheaper voip call application but the call quality is usually good"
Skype,2023-07-28,N/A,stejle folks penge.har ikke brugt skype i langtid. og loge på igen og finde ud af at min gadit stå på 0 kr og kan åbenbar ikke få min penge da det er over 90 dage. og nåde i den ratring
Skype,2023-06-19,1,it is Impossible to cancel subscription auto renewal.there is no button for cancel it trough skype. it is criminal to keep charging me for a service I no longer need and want to cancel.I have spent more than 2 hours browsing the internet looking for an answer and there is none. there isn't even a help channel from Microsoft to sort this out. ABSOLUTE DISGUSTING
Skype,2023-06-18,N/A,"Omöjligt att få hjälp, slutade fungera helt plötsligt. Orsak?????"
Skype,2023-06-05,1,it is not hard to guess skype credit service is really rubbish.it is designed to get you off guards so they can get away with your money. when you think they do it to millions people around the world it quickly adds up in their bank account. i have not signed up for one year Subcription but they managed to put me in one year contract instead of one month contract. NEVER PAY THEM BY PAYPAL AGAIN USE BANK ACCOUNT AND MAKE ONE ONE OF MONTHLY PAYMENT ONLY.NEVER TRUST SKYPE CREDIT.ALWAYS KEEP AN EYE ON YOUR SKYPE CREDIT ACCOUNT. IF NOT NEXT THING YOU SEE THEY HAVE BEEN TAKING YOUR MONEY OUT OF YOUR ACCOUNT.INSTEAD OF £6 MONTHLY THEY TOOK OUT £ 61YEARLY.I CANCELED MY PAYPAL SKYPE PAYMENTS NOW BUT TOO LATE ALREADY.
Skype,2023-05-29,N/A,"Skype is a reliable platform for seamless communication and collaboration. It offers high-quality video and voice calls, instant messaging, file sharing, group video conferencing, and integrates well with Microsoft services. With availability across multiple devices, it is a convenient and cost-effective solution."
Skype,2023-05-11,N/A,"Giving a 1 star, because apparently 0 isn't an option."
Skype,2023-05-09,1,"Use Discord or other communication apps, Skype has done my head in,it's so freaking slow and you can't call anyone without lag.Goodbye Skype"
Skype,2023-05-05,N/A,"Skype deleted my bookmarks, both in mobile and laptop versions. Do you expect me to add them all again? This is a ridiculous app! Will never recommend this app."
Skype,2023-05-04,1,ABSOLUTELY NO WAY TO CONTACT CUSTOMER SUPPORT!!!!!!!! CAN YOU BELIEVE? CALLS TO A PHONE NUMBER WERE NOT GOING THROUGH THOUGH I HAD SKYPE CREDIT! IT KEPT SAYING THAT I HAD NO SUBSCRIPTION!INFINITE OTHER PROBLEMS.
Skype,2023-04-21,N/A,Fix the calling function to phone numbers!!!!!!!!!!!!!!!
Skype,2023-04-08,1,Wenn man mit Skype arbeitet kann man sich auch gleich erschießen. Das kommt dem Effekt von Skype sehr nah.Skype verstellt die Audioeinstellungen.Kontos werden gesperrt.Bezahlung ist total sinnlos.Unnötiges Programm das man schon nach der Installation von Windows wieder deinstalliert.Also wenn man unbedingt einen Sprachchat haben möchte rate ich zu Teamspeak3ist preiswert und funktioniert einwandfrei.
Skype,2023-04-07,N/A,They keep charging money and there's no way to get a refund. I tried to contact live support but they took 30 minutes for verification  but still they were unable to verify my account and I lost my money.
Skype,2023-03-28,N/A,"There was a good program for me, but unfortunately every time it needed an update, I had to enter a new password. Naturally, this was annoying. This is exactly why I stopped using ICQ."
Skype,2023-03-24,1,Thought I paid for 1 month but they actually trick you and write in small print on email that they will charge you every month. Then they make it so hard where to find the cancel option. great job to MS thieves as per usual
Skype,2023-03-19,1,"Dafür, dass es übers Internet funktioniert, ist es unverschämt teuer, wenn man leute anruft, die kein Skype haben."
Skype,2023-03-07,N/A,N/A
Skype,2023-03-05,N/A,Why would you deactivate the balance if a person don't use it?Imagine you have 100 USD on your bank account. And imagine bank deactivating/taking your money if you don't use itThis is so interesting that I can't put anything more than 1 star.Thank you for your work.Good product though but the decision on taking people's money is making it 1 star (unfortunately)
Skype,2023-03-03,1,"I was on skype because the class I was enrolled in required me to be on a skype call. I never asked for an account, but I got charged a monthly fee of $2.99. Trying to cancel the account took more than an hour. It is not clear or easy to cancel, and of course there is no one to call. What a scam! I wonder how many people, who never wanted an account  are charged every month."
Skype,2023-03-03,1,"Who designed Skype calls to phones?It makes no sense.I think it was designed by a hyperactive, crack addicted, depressed monkey.This is one of the worst designed apps I have ever used.As mentioned by others, the call quality is very bad, compared to WhatsApp or Line. MS bought Skype, then trashed it, then made it worse."
Skype,2023-02-26,5,"Great. I contacted them because of one month longer usage. Then I told them I dont want that, they send me the money back. Great"
Skype,2023-02-22,1,"Det fortjene præcis et stjerne. Det er svært hvad men betale på et abonnement. Jeg har et Skype nummer jeg kan ikke snakke med min mor bo i Tyrkiet med mindre Jeg tegner ikke abonment til Taiwan, hvor jeg ikke eneste jeg kende. Jeg sletter min Skype abonnement og vil aldrig brug længere efter min mor død. Hilsen til Bill Gates."
